"Year,Value"
"188001,-0.09"
"188002,-0.06"
"188003,0.07"
"188004,0.14"
"188005,0.03"
"188006,0.03"
"188007,-0.02"
"188008,-0.03"
"188009,-0.03"
"188010,-0.12"
"188011,-0.11"
"188012,-0.05"
"188101,0.12"
"188102,0.13"
"188103,0.10"
"188104,0.07"
"188105,-0.02"
"188106,0.00"
"188107,0.06"
"188108,-0.04"
"188109,-0.12"
"188110,-0.27"
"188111,-0.19"
"188112,-0.09"
"188201,0.14"
"188202,0.04"
"188203,-0.02"
"188204,-0.08"
"188205,-0.09"
"188206,-0.11"
"188207,-0.08"
"188208,-0.11"
"188209,-0.04"
"188210,-0.10"
"188211,-0.01"
"188212,0.06"
"188301,-0.07"
"188302,-0.14"
"188303,-0.11"
"188304,-0.12"
"188305,-0.10"
"188306,-0.01"
"188307,0.02"
"188308,-0.03"
"188309,-0.12"
"188310,-0.14"
"188311,-0.12"
"188312,-0.06"
"188401,-0.09"
"188402,0.12"
"188403,-0.03"
"188404,-0.07"
"188405,-0.04"
"188406,-0.21"
"188407,-0.31"
"188408,-0.23"
"188409,-0.24"
"188410,-0.27"
"188411,-0.33"
"188412,-0.21"
"188501,-0.17"
"188502,-0.20"
"188503,-0.17"
"188504,-0.19"
"188505,-0.16"
"188506,-0.23"
"188507,-0.13"
"188508,-0.20"
"188509,-0.18"
"188510,-0.05"
"188511,-0.04"
"188512,0.01"
"188601,0.00"
"188602,-0.07"
"188603,-0.14"
"188604,-0.12"
"188605,-0.13"
"188606,-0.16"
"188607,-0.21"
"188608,-0.33"
"188609,-0.32"
"188610,-0.19"
"188611,-0.16"
"188612,-0.24"
"188701,-0.32"
"188702,-0.31"
"188703,-0.15"
"188704,-0.15"
"188705,-0.31"
"188706,-0.17"
"188707,-0.23"
"188708,-0.30"
"188709,-0.24"
"188710,-0.22"
"188711,-0.10"
"188712,-0.06"
"188801,-0.03"
"188802,-0.11"
"188803,-0.12"
"188804,0.02"
"188805,0.11"
"188806,0.22"
"188807,0.07"
"188808,-0.05"
"188809,0.01"
"188810,0.17"
"188811,0.14"
"188812,0.30"
"188901,0.32"
"188902,0.20"
"188903,0.18"
"188904,0.03"
"188905,0.09"
"188906,0.05"
"188907,-0.10"
"188908,-0.11"
"188909,-0.23"
"188910,-0.14"
"188911,-0.12"
"188912,-0.16"
"189001,-0.27"
"189002,-0.21"
"189003,-0.15"
"189004,-0.19"
"189005,-0.24"
"189006,-0.32"
"189007,-0.43"
"189008,-0.51"
"189009,-0.45"
"189010,-0.36"
"189011,-0.37"
"189012,-0.29"
"189101,-0.35"
"189102,-0.31"
"189103,-0.10"
"189104,-0.09"
"189105,-0.06"
"189106,-0.01"
"189107,-0.04"
"189108,-0.07"
"189109,-0.03"
"189110,-0.12"
"189111,-0.27"
"189112,-0.09"
"189201,-0.07"
"189202,-0.06"
"189203,-0.15"
"189204,-0.21"
"189205,-0.29"
"189206,-0.37"
"189207,-0.51"
"189208,-0.42"
"189209,-0.31"
"189210,-0.54"
"189211,-0.50"
"189212,-0.50"
"189301,-0.47"
"189302,-0.38"
"189303,-0.44"
"189304,-0.38"
"189305,-0.39"
"189306,-0.31"
"189307,-0.29"
"189308,-0.42"
"189309,-0.40"
"189310,-0.36"
"189311,-0.38"
"189312,-0.36"
"189401,-0.45"
"189402,-0.46"
"189403,-0.45"
"189404,-0.30"
"189405,-0.48"
"189406,-0.44"
"189407,-0.29"
"189408,-0.38"
"189409,-0.27"
"189410,-0.29"
"189411,-0.42"
"189412,-0.35"
"189501,-0.19"
"189502,-0.28"
"189503,-0.40"
"189504,-0.27"
"189505,-0.27"
"189506,-0.31"
"189507,-0.23"
"189508,-0.21"
"189509,-0.10"
"189510,0.04"
"189511,-0.03"
"189512,-0.11"
"189601,-0.20"
"189602,-0.11"
"189603,-0.10"
"189604,-0.13"
"189605,-0.11"
"189606,-0.03"
"189607,0.02"
"189608,0.02"
"189609,0.09"
"189610,0.07"
"189611,0.12"
"189612,0.23"
"189701,0.10"
"189702,0.04"
"189703,0.17"
"189704,0.10"
"189705,-0.01"
"189706,-0.06"
"189707,0.01"
"189708,-0.08"
"189709,-0.11"
"189710,-0.14"
"189711,-0.16"
"189712,-0.13"
"189801,-0.08"
"189802,-0.12"
"189803,-0.21"
"189804,-0.26"
"189805,-0.19"
"189806,-0.12"
"189807,-0.12"
"189808,-0.24"
"189809,-0.16"
"189810,-0.22"
"189811,-0.23"
"189812,-0.25"
"189901,-0.19"
"189902,-0.30"
"189903,-0.27"
"189904,-0.22"
"189905,-0.21"
"189906,-0.25"
"189907,-0.11"
"189908,-0.05"
"189909,-0.10"
"189910,-0.09"
"189911,0.00"
"189912,0.01"
"190001,0.05"
"190002,0.07"
"190003,0.02"
"190004,0.02"
"190005,-0.08"
"190006,-0.05"
"190007,-0.06"
"190008,-0.06"
"190009,-0.01"
"190010,0.12"
"190011,-0.01"
"190012,0.01"
"190101,0.01"
"190102,0.03"
"190103,-0.04"
"190104,-0.03"
"190105,-0.13"
"190106,-0.04"
"190107,-0.08"
"190108,-0.19"
"190109,-0.23"
"190110,-0.24"
"190111,-0.20"
"190112,-0.24"
"190201,-0.25"
"190202,-0.27"
"190203,-0.24"
"190204,-0.15"
"190205,-0.29"
"190206,-0.38"
"190207,-0.30"
"190208,-0.31"
"190209,-0.26"
"190210,-0.11"
"190211,-0.06"
"190212,-0.11"
"190301,-0.17"
"190302,-0.21"
"190303,-0.17"
"190304,-0.26"
